movieInfo,title,star,quote
"
                            导演: 彼得·威尔 Peter Weir   主演: 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...;
                            1998 / 美国 / 剧情
                        ;
                                ;
                            ",楚门的世界 / The Truman Show / 真人Show(港)  /  真人戏,9.0,如果再也不能见到你，祝你早安，午安，晚安。
"
                            导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano   主...;
                            2011 / 法国 / 剧情 喜剧
                        ;
                                ;
                            ",触不可及 / Intouchables / 闪亮人生(港)  /  逆转人生(台),9.1,满满温情的高雅喜剧。
"
                            导演: 彼得·杰克逊 Peter Jackson   主演: 维果·莫腾森 Viggo Mortensen / ...;
                            2003 / 美国 新西兰 / 剧情 动作 奇幻 冒险
                        ;
                                ;
                            ",指环王3：王者无敌 / The Lord of the Rings: The Return of the King / 魔戒三部曲：王者再临  /  指环王III：王者无敌,9.1,史诗的终章。
"
                            导演: William Wyler   主演: Audrey Hepburn / Gregory Peck / Eddie Albert;
                            1953 / 美国 / 喜剧 剧情 爱情
                        ;
                                ;
                            ",罗马假日 / Roman Holiday / 金枝玉叶(港)  /  罗马假期(台),8.9,爱情哪怕只有一天。
"
                            导演: Sidney Lumet   主演: 亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti...;
                            1957 / 美国 / 剧情
                        ;
                                ;
                            ",十二怒汉 / 12 Angry Men / 12怒汉  /  十二怒汉,9.3,1957年的理想主义。 
"
                            导演: Guy Ritchie   主演: Jason Flemyng / Dexter Fletcher / Nick Moran;
                            1998 / 英国 / 剧情 喜剧 犯罪
                        ;
                                ;
                            ","两杆大烟枪 / Lock, Stock and Two Smoking Barrels / 够姜四小强(港)  /  两根枪管(台)",9.0,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 田中真弓 Mayumi Tanaka / 鹫尾真知子 ...;
                            1986 / 日本 / 动画 奇幻 冒险
                        ;
                                ;
                            ",天空之城 / 天空の城ラピュタ / Tenkû no shiro Rapyuta  /  Laputa: Castle in the Sky,9.0,对天空的追逐，永不停止。 
"
                            导演: Louie Psihoyos   主演: John Chisholm / Mandy-Rae Cruikshank / Char...;
                            2009 / 美国 / 纪录片
                        ;
                                ;
                            ",海豚湾 / The Cove / 血色海湾(台)  /  海湾,9.3,海豚的微笑，是世界上最高明的伪装。
"
                            导演: 罗伯·莱纳 Rob Reiner   主演: 玛德琳·卡罗尔 Madeline Carroll / 卡...;
                            2010 / 美国 / 剧情 喜剧 爱情
                        ;
                                ;
                            ",怦然心动 / Flipped / 萌动青春  /  青春萌动,8.9,真正的幸福是来自内心深处。
"
                            导演: 彼特·道格特 Pete Docter   主演: 克里斯托弗·普卢默 Christopher Pl...;
                            2009 / 美国 / 剧情 喜剧 动画 奇幻 冒险
                        ;
                                ;
                            ",飞屋环游记 / Up / 冲天救兵(港)  /  天外奇迹(台),8.9,最后那些最无聊的事情，才是最值得怀念的。 
